ID,TIMESTAMP,STARTING_LATITUDE,STARTING_LONGITUDE,DESTINATION_LATITUDE,DESTINATION_LONGITUDE,VEHICLE_TYPE,TOTAL_LUGGAGE_WEIGHT,WAIT_TIME,TRAFFIC_STUCK_TIME,DISTANCE,FARE
713,2016-10-18 15:11:13,19.146571,72.883684,19.028299,72.836609,Taxi Non AC,11,10,9,46,738.68
714,2015-07-12 10:42:15,28.631169,77.015238,28.712878,77.148874,Taxi Non AC,1,2,8,41,824.39
742,2015-08-11 16:02:15,12.991138,77.490648,13.09266,77.650097,taxi Non ac,24,8,0,45,449.84
744,2015-10-26 16:25:08,22.608601,88.429159,22.661634,88.450783,Taxi Non AC,3,15,5,12,156.29
745,2016-05-26 14:16:57,13.03947,80.247654,12.942885,80.145361,Taxi non ac,13,7,7,32,1124
760,2016-05-20 06:17:22,12.965661,77.64533,13.107396,77.480209,taxi non ac,9,11,17,33,377.99
768,2016-07-17 17:36:08,25.358601,82.974174,25.272403,82.970104,Taxi non ac,15,5,38,35,718.82
784,2016-11-01 05:50:17,22.464672,88.432552,22.575883,88.418956,taxi Non Ac,3,13,3,33,442.96
802,2016-03-11 04:39:20,19.100853,72.838848,19.064432,72.840834,Taxi non ac,9,13,0,16,293.18
804,2016-05-21 15:01:45,13.070348,80.140993,12.956588,80.189942,Taxi Non AC,9,19,4,17,170.5
809,2016-09-03 09:40:07,12.947803,77.623245,12.978414,77.535449,taxi non Ac,19,7,11,26,269.18
810,2015-03-28 09:48:12,25.319703,82.978392,25.320687,83.023862,taxi Non ac,9,4,3,6,125.52
816,2016-10-24 16:02:29,19.027275,72.87786,19.158895,72.85505,Taxi Non AC,19,19,12,42,673.75
817,2016-03-15 12:56:49,19.18875,72.846989,19.128729,72.851146,taxi Non ac,5,6,17,29,485.5
828,2016-05-03 18:51:30,25.363371,83.009629,25.329961,83.01092,Taxi non ac,9,4,40,40,817.91
837,2015-04-17 22:11:29,13.047879,77.57765,12.916212,77.491033,Taxi Non AC,4,3,60,31,371.67
839,2016-06-12 11:02:24,28.698853,77.052923,28.661211,77.228118,Taxi Non AC,23,2,39,26,547.87
844,2015-11-23 14:47:49,19.083734,72.848654,19.077963,72.870098,Taxi Non AC,23,16,25,25,417.46
866,2015-01-15 04:49:55,25.387375,83.006721,25.28531,82.995855,Taxi Non AC,9,13,14,14,334.69
891,2016-11-19 17:03:28,19.077731,72.868909,19.138379,72.847927,Taxi non ac,28,2,21,37,613.56
894,2016-06-23 06:52:20,22.682786,88.431253,22.618732,88.432227,Taxi Non AC,25,6,41,42,568.71
898,2016-02-09 02:57:22,22.449597,88.42286,22.622595,88.420739,Taxi Non AC,22,13,5,23,315.06
910,2015-01-13 13:16:26,19.052938,72.836837,19.071194,72.883187,taxi Non Ac,23,13,30,31,511.89
914,2015-01-02 10:29:48,28.568699,77.117051,28.750023,77.171723,Taxi Non AC,23,7,35,36,754.73
923,2016-06-08 15:24:08,25.3747,83.002709,25.339132,83.011314,Taxi non Ac,4,12,34,29,609.21
927,2015-12-15 02:55:44,22.491367,88.449888,22.51312,88.377808,taxi Non ac,6,6,8,43,577.62
929,2015-08-15 08:35:02,,,,,Taxi non ac,20,17,76,42,603.9
932,2016-10-16 04:20:14,19.232464,72.86385,19.110553,72.848457,taxi non ac,18,17,26,16,306.76
942,2016-10-13 10:48:01,13.1232,80.158642,13.144472,80.139495,Taxi non ac,8,13,6,26,250.99
946,2015-08-08 23:41:51,19.112083,72.879267,19.116442,72.857849,Taxi Non AC,18,15,64,39,724.72
951,2015-08-28 12:24:54,28.717408,77.15391,28.679041,77.001066,taxi Non ac,22,19,23,17,369.76
957,2015-06-03 22:57:30,13.09649,77.575246,13.092013,77.696406,taxi non ac,15,1,21,47,529.98
958,2016-02-11 07:57:56,25.343658,83.017699,25.291972,82.980928,taxi Non Ac,16,3,10,39,856.32
960,2015-10-16 16:41:28,25.340719,82.968981,25.384452,83.00305,taxi Non Ac,28,7,11,18,366.35
966,2016-03-22 13:03:00,19.239699,72.850648,,,Taxi non ac,23,2,54,45,755.33
976,2016-02-04 06:46:04,28.630252,77.083971,28.706782,76.963881,Taxi non ac,5,18,33,17,415.35
987,2015-03-13 00:30:41,12.944509,80.241897,12.997014,80.139321,taxi Non ac,3,9,21,17,193.48
994,2016-03-09 14:36:15,22.680169,88.390839,22.595226,88.403351,taxi non ac,14,16,49,29,372.99
1000,2016-09-18 17:45:40,12.997216,80.161903,12.923151,80.258678,taxi non Ac,21,9,4,17,164.61
1001,2016-06-10 05:15:05,13.014942,77.57989,13.075661,77.699949,taxi Non Ac,1,3,35,27,323.35
1013,2016-03-06 04:54:12,28.627289,77.061976,28.729523,77.030285,Taxi non Ac,18,0,22,17,396.56
1018,2015-01-01 22:32:04,28.665802,77.200594,28.557054,77.105249,taxi Non Ac,12,9,34,20,475.3
1023,2015-02-27 05:03:55,12.922628,80.208268,12.892049,80.191672,taxi non ac,29,12,5,20,222.47
1029,2016-11-19 13:45:49,28.736248,76.998875,28.731858,77.098653,Taxi non Ac,11,8,73,37,799.43
1031,2016-10-06 17:47:31,25.317713,83.006726,25.335734,82.972906,taxi Non ac,13,12,25,22,462.13
1037,2015-05-01 14:15:11,28.741866,76.988454,28.700279,77.193415,Taxi Non AC,28,0,27,26,543.58
1038,2016-02-09 08:08:09,19.177766,72.852391,19.139763,72.849037,taxi non ac,18,3,0,10,179
1040,2015-03-22 04:14:19,12.857644,77.530959,12.847359,77.492999,taxi Non ac,6,12,19,21,253.99
1051,2015-11-08 10:43:18,25.388148,83.013029,25.367164,83.001048,taxi non Ac,28,10,43,25,553.39
1055,2015-05-01 00:08:33,12.981695,80.155425,12.984131,80.147688,Taxi Non AC,12,8,0,7,77.74
1058,2016-01-10 12:50:52,25.368042,82.988093,25.370183,82.97629,Taxi Non AC,10,19,29,22,477
1073,2016-12-04 14:31:53,28.67578,77.176988,28.615739,77.221315,taxi non Ac,23,17,43,26,576.85
1080,2016-03-03 13:49:35,25.366915,83.007581,25.278736,82.966166,taxi Non ac,1,7,34,24,502.97
1094,2015-12-19 12:55:03,28.73718,77.117369,28.623228,77.066351,Taxi non ac,20,9,48,48,1029.64
1105,2015-02-07 13:33:56,25.343901,82.990944,25.382808,82.973875,taxi Non ac,22,9,27,25,521.56
1106,2015-04-01 20:12:08,13.032753,80.211191,12.943022,80.159315,taxi non ac,1,14,7,20,203.59
1121,2016-06-26 17:10:57,12.957668,80.258159,13.001212,80.243261,taxi Non ac,22,11,3,48,457.61
1124,2015-01-22 07:45:05,28.724179,76.96945,28.558574,77.052367,taxi Non Ac,4,6,44,39,922.38
1133,2015-05-05 20:35:08,13.006785,80.180655,12.908757,80.207365,Taxi Non AC,26,4,39,22,231.81
1134,2016-05-03 13:25:41,13.012134,80.216437,13.178258,80.241955,Taxi Non AC,28,3,27,41,404.75
1135,2016-07-03 23:31:30,13.062708,80.204107,13.025603,80.197279,Taxi Non AC,1,18,31,20,229.65
1140,2016-03-05 17:15:59,,,25.347732,83.002246,Taxi non ac,22,19,31,48,999.17
1141,2016-04-11 04:07:51,22.55595,88.41571,22.578191,88.390306,Taxi non ac,27,9,32,18,259.18
1150,2016-08-10 15:59:54,19.129115,72.866896,19.222143,72.871496,taxi non Ac,4,6,25,16,274.1
1155,2015-05-16 13:26:21,19.129386,72.859204,19.012825,72.871932,Taxi Non AC,18,0,15,57,248
1164,2015-07-04 09:41:20,,,22.579998,88.436376,taxi non Ac,6,13,38,25,324
1166,2016-01-25 16:35:30,12.94221,77.501493,12.905227,77.475346,Taxi Non AC,6,14,20,41,440.64
1175,2015-04-06 04:32:44,19.227527,72.846404,19.239647,72.842214,Taxi Non AC,25,0,77,47,890.95
1176,2016-09-17 03:15:24,28.749881,77.213245,28.676314,77.17765,Taxi non Ac,19,16,5,18,406.2
1182,2015-03-02 17:53:45,22.58814,88.395311,22.684947,88.41922,Taxi non Ac,3,7,24,44,531.75
1186,2015-02-05 18:34:57,22.705586,88.422992,22.661504,88.388126,taxi Non Ac,27,0,71,48,597.89
1198,2015-01-08 13:39:09,19.115007,72.867869,19.081623,72.851911,taxi Non ac,1,15,40,29,501.47
1202,2016-03-26 04:47:36,13.186006,80.181624,13.176548,80.193736,taxi non ac,8,3,52,31,347.27
1205,2015-12-13 12:14:48,25.360065,83.012473,25.348203,82.98315,taxi Non Ac,1,17,12,43,897.11
1213,2016-08-10 02:28:14,12.949131,80.249125,12.912045,80.185964,Taxi Non AC,7,15,18,12,142.35
1214,2016-04-22 02:54:51,25.367582,82.968936,25.380829,83.021812,taxi Non Ac,9,12,59,40,921.08
1218,2016-02-23 11:47:57,12.850876,77.48729,12.970393,77.525117,Taxi non ac,21,11,63,33,363.8
1219,2016-01-04 05:57:14,19.020947,72.853838,19.093835,72.865339,taxi non Ac,11,16,12,21,378.64
1234,2015-06-10 16:30:12,25.347635,83.017622,25.309774,82.971785,Taxi Non AC,11,7,12,16,329.73
1237,2015-10-28 14:29:03,19.080642,72.878196,19.156118,72.860163,taxi Non ac,24,15,69,44,774.29
1238,2016-07-25 18:17:12,22.552838,88.442316,22.465678,88.394959,Taxi non ac,11,18,55,34,1426
1240,2015-03-22 14:15:30,13.026486,80.231971,12.932506,80.140887,Taxi non ac,12,7,77,42,444.31
1241,2016-07-25 05:58:50,25.353316,82.986346,25.32048,82.969103,Taxi Non AC,21,17,0,21,482.38
1243,2015-05-01 18:13:02,12.992752,77.559827,12.900072,77.690156,Taxi non ac,22,2,17,46,478.08
1244,2015-10-18 14:02:12,22.605711,88.40808,22.581473,88.435231,Taxi non ac,26,16,4,23,278.38
1251,2015-08-22 23:39:19,22.70673,88.439615,22.665492,88.419221,taxi Non Ac,16,3,9,10,136.07
1256,2016-02-15 18:50:52,25.284749,82.964816,25.382849,83.005479,Taxi Non AC,8,14,5,41,823.43
1259,2015-10-17 19:16:34,19.109703,72.843514,19.248562,72.85858,taxi Non Ac,20,14,87,47,831.83
1268,2015-04-07 02:42:02,19.226065,72.882539,19.086753,72.845224,taxi non Ac,4,8,47,26,500.72
1269,2015-09-11 12:16:16,22.492087,88.425551,22.551178,88.378438,Taxi non ac,24,16,7,19,236.82
1272,2016-05-24 02:16:00,12.928685,77.676529,12.974549,77.468391,taxi non Ac,17,13,49,44,519.31
1281,2015-12-17 19:33:34,25.372593,83.011237,25.318869,83.012301,Taxi Non AC,4,6,4,1,565.83
1288,2016-12-08 03:56:23,12.851838,77.558081,12.945749,77.53105,taxi non Ac,20,5,29,18,217.68
1291,2015-09-19 10:46:50,22.505363,88.417357,22.47931,88.39192,Taxi non Ac,21,14,54,32,418.38
1298,2016-09-28 16:31:14,25.367547,82.999474,25.362803,82.992431,Taxi non ac,22,4,38,38,790.07
1303,2015-11-07 14:44:29,12.999486,80.258425,13.046929,80.244457,Taxi Non AC,23,16,6,26,260.82
1305,2015-10-22 19:33:11,22.516286,88.442147,22.52931,88.438771,taxi Non ac,7,11,4,43,524.89
1310,2016-10-21 00:00:29,13.06647,77.501735,13.102883,77.580614,Taxi non ac,13,4,9,17,199.18
1318,2016-07-01 10:26:06,22.632654,88.400534,22.534491,88.39059,Taxi Non AC,13,19,0,46,549.5
1319,2015-07-14 04:40:13,22.560112,88.42006,22.593086,88.452097,taxi non ac,25,12,55,35,508.17
1324,2016-08-08 09:09:14,25.376368,83.008811,25.320509,82.99544,Taxi non ac,10,2,45,36,744.07
1332,2015-06-03 02:23:40,13.052491,77.714652,13.118978,77.530138,taxi non Ac,30,11,27,27,311.79
1344,2016-11-18 04:22:04,25.352739,83.017025,25.355757,83.011843,Taxi non Ac,21,7,18,11,265.32
1360,2015-04-17 05:10:13,25.381243,82.964553,25.323728,82.984709,taxi non Ac,2,6,10,8,184.59
1363,2015-11-06 03:08:14,22.536509,88.434088,22.709996,88.428472,Taxi non ac,9,16,12,37,508.45
1367,2016-09-09 13:38:32,13.079109,80.197739,13.107224,80.185872,taxi Non ac,29,19,5,5,57.07
1369,2015-03-26 23:39:10,22.591333,88.39675,22.480306,88.434997,Taxi non Ac,24,18,18,15,221.08
1382,2016-04-06 20:10:15,25.274892,82.988213,25.336037,82.967808,Taxi non ac,10,7,4,26,531.92
1387,2015-04-02 08:45:19,28.752168,77.010396,28.637192,77.203233,Taxi non ac,28,4,40,34,798.13
1391,2016-12-06 09:17:43,12.972179,77.464142,12.920736,77.505666,Taxi Non AC,2,16,19,12,133.39
1400,2016-09-02 10:49:52,22.616735,88.432216,22.537922,88.432971,taxi Non ac,8,1,3,10,118.36
1412,2015-07-06 06:15:41,22.553981,88.39978,22.488971,88.390341,taxi non Ac,14,11,31,32,437.04
1414,2016-01-13 22:32:03,12.993111,80.170023,13.096996,80.236094,Taxi non Ac,13,12,23,31,337.71
1424,2015-02-11 23:29:51,25.361318,82.981538,25.294167,82.991928,taxi non Ac,17,11,25,42,947.34
1440,2016-02-07 11:59:06,28.749019,77.055202,28.563745,77.11483,taxi Non Ac,13,1,38,44,889.93
1451,2016-11-24 14:51:45,19.223109,72.847374,19.186425,72.836754,taxi Non ac,27,7,43,24,411.86
1454,2015-09-02 08:04:30,28.72154,76.987372,28.710425,77.199074,taxi non Ac,14,6,41,34,796.68
1455,2015-04-13 07:22:12,12.98336,77.606619,12.875919,77.525146,Taxi Non AC,16,16,18,35,401.51
1464,2016-10-28 14:08:48,,,,,taxi non ac,22,4,21,28,578.33
1469,2016-12-04 04:13:03,19.206359,72.847404,19.070638,72.865857,taxi non ac,19,8,4,22,385.36
1472,2015-10-04 00:52:23,22.553749,88.396757,22.568643,88.407755,taxi Non Ac,21,14,40,31,429.78
1477,2016-08-24 17:01:07,25.268487,82.965738,25.377822,82.966496,Taxi Non AC,4,7,40,38,781.61
1483,2016-07-14 20:27:34,22.521143,88.430549,22.665794,88.448612,Taxi Non AC,18,0,37,45,562.13
1505,2015-12-11 23:21:08,28.584499,77.010589,28.734701,76.981874,Taxi non Ac,20,3,11,29,1173
1510,2015-03-18 12:41:26,28.700262,77.049536,28.647481,76.982623,Taxi non Ac,15,12,28,21,443.25
1513,2016-07-13 06:09:03,,,13.142616,80.224689,taxi non ac,9,15,29,32,355.96
1517,2015-10-22 07:21:01,19.020898,72.854228,19.18851,72.846177,Taxi Non AC,28,9,15,21,379.67
1526,2015-05-09 08:06:02,22.525835,88.429207,22.692932,88.440454,taxi non Ac,3,2,3,1,463.1
1527,2015-02-07 21:55:03,19.132048,72.84581,19.011625,72.87484,taxi Non ac,2,3,47,31,567.51
1554,2016-08-06 14:29:55,25.381688,82.974842,25.367919,83.003211,taxi Non Ac,6,9,49,47,964.14
1589,2016-08-26 20:48:06,25.332703,82.986019,25.376111,82.997659,Taxi non ac,24,8,10,11,229.58
1595,2016-08-16 02:19:25,13.059755,80.255687,13.039577,80.238518,Taxi Non AC,27,8,22,28,303.29
1596,2016-04-19 02:14:13,,,22.72619,88.403425,taxi Non ac,8,2,27,26,357.5
1603,2015-12-23 00:36:57,22.685256,88.412572,22.548404,88.427259,taxi non ac,6,10,56,32,467.12
1605,2015-03-16 22:21:49,,,28.560122,76.984325,Taxi Non AC,14,2,21,32,722.33
1616,2016-06-03 13:31:15,19.088876,72.867562,19.064726,72.877754,Taxi non ac,3,7,36,42,711.36
1617,2015-12-25 02:19:46,12.873652,77.68626,12.893846,77.665611,Taxi Non AC,27,2,35,42,480.28
1625,2015-03-01 10:50:26,28.584516,76.996657,28.625807,77.042651,taxi non ac,3,12,30,25,535.57
1626,2015-07-05 13:53:44,22.52314,88.451701,22.702679,88.412429,Taxi non ac,17,7,61,34,450.85
1627,2016-09-01 06:41:25,19.180407,72.856047,19.17597,72.873244,Taxi non ac,10,10,2,5,96.18
1632,2015-07-05 12:25:06,22.684193,88.415999,22.696646,88.396346,Taxi Non AC,5,14,14,21,268.12
1637,2015-12-06 01:27:01,22.547016,88.381328,22.662144,88.412382,Taxi Non AC,7,5,45,30,432.08
1645,2016-12-27 12:24:49,22.555534,88.420847,22.497364,88.41792,taxi non Ac,25,0,77,40,518.27
1646,2016-10-23 01:52:36,13.095851,77.697431,12.950377,77.503356,taxi Non Ac,5,17,11,38,446.35
1649,2016-07-20 11:26:46,19.193961,72.845826,19.035208,72.884141,Taxi Non AC,5,3,30,45,739.59
1653,2015-02-22 04:25:55,19.07411,72.866575,19.145639,72.871899,Taxi non ac,5,14,53,42,799.3
1670,2015-04-26 06:32:08,28.566484,76.998318,28.741998,77.123508,taxi non ac,25,4,49,28,667.86
1671,2016-11-16 07:06:43,25.370053,82.979288,25.331308,83.021287,taxi Non ac,25,9,9,16,365.39
1676,2015-06-12 09:31:54,22.714338,88.442103,22.483621,88.393089,taxi non Ac,13,8,55,47,580.75
1685,2015-01-28 10:41:02,28.641179,77.220541,28.675759,77.207879,taxi non ac,17,8,64,34,741.32
1713,2016-07-18 16:40:49,22.586836,88.431204,22.577326,88.411451,taxi non ac,15,8,47,36,1324
1723,2015-09-02 17:09:42,19.104871,72.875651,19.074334,72.857584,taxi non ac,8,0,21,39,641.19
1725,2016-12-14 14:45:58,13.071453,77.522519,12.982301,77.557352,Taxi Non AC,7,6,57,41,448.94
1727,2016-08-22 14:43:01,12.940215,80.245493,12.933555,80.134937,Taxi non ac,16,8,14,11,238
1758,2016-08-19 11:47:41,13.097054,80.150122,12.933641,80.249393,taxi non Ac,17,8,29,33,327.38
1762,2016-12-17 23:15:51,22.460622,88.404765,22.503519,88.436115,Taxi non ac,11,7,17,23,309.02
1770,2016-02-05 23:43:46,28.700668,77.101824,28.634206,77.170622,Taxi non Ac,21,1,29,2,992.75
1780,2016-07-15 11:27:15,13.11333,77.597313,12.95514,77.704635,Taxi Non AC,7,3,15,24,247.52
1793,2015-01-12 00:06:56,13.036362,80.150817,13.06875,80.181142,Taxi non Ac,24,7,0,37,391.15
1796,2016-03-16 20:25:32,19.032175,72.860408,19.087779,72.836772,taxi non Ac,17,12,55,45,745.53
1797,2015-08-08 05:16:12,28.7055,77.109157,28.751966,77.101459,Taxi non Ac,16,8,5,11,246.65
